
"KEY","","EN","CN","ZH","JP","KR","TH","IN"
"Main Wallet","","","","","","","",""
"bnt_balance","","Balance","余额","餘額","剰余","밸런스","สมดุล","संतुलन"
"bnt_lv_share","","Level of Referral Bonus","推荐奖金级别","推薦獎金級別","紹介ボーナスのレベル","추천 보너스 수준","ระดับของโบนัสการแนะนำ","रेफरल बोनस का स्तर"
"bnt_node_num","","Node Count","节点数","節點數","ノード数","노드 카운트","จำนวนโหนด","नोड गणना"
"bnt_lv_node","","Node Level","节点级别","節點級別","ノードレベル","노드 레벨","ระดับโหนด","नोड स्तर"
"bnt_deal","","Deal","买单","買單","対処","거래","จัดการ","सौदा"
"bnt_price_plan","","Price Plan","价格表","價格表","料金プラン","가격 계획","ราคาตามแผน","मूल्य योजना"
"bnt_share","","Share","分享","分享","シェア","공유","หุ้น","शेयर"
"bnt_welcome","","Welcome","欢迎","歡迎","ようこそ","어서 오십시오","ยินดีต้อนรับ","स्वागत हे"
"bnt_invcode","","Referral Code","推荐码","推薦碼","紹介コード","추천 코드","รหัสอ้างอิง","रेफरल कोड"
"bnt_all_income","","All Income","所有收入","所有收入","すべての収入","모든 소득","รายได้ทั้งหมด","सभी आय"
"bnt_all_wage","","All Wagers","所有赌注","所有賭注","すべての賭け","모든 베팅","เดิมพันทั้งหมด","सभी दांव"
"bnt_main","","Home","主页","主頁","家","집","บ้าน","घर"
"bnt_ninvest","","New Invest","新投资","新投資","新投資","새로운 투자","การลงทุนใหม่","नए निवेश"
"bnt_oinvest","","Catch Up","赶上投资","趕上投資","追いつく","잡아라","ตามทัน","पकड़ो"
"bnt_trxn","","Transaction Status","交易状态","交易狀態","トランザクションのステータス","거래 상태","สถานะการทำธุรกรรม","लेन-देन स्थिति"
"bnt_bicode","","Invite Code","邀请码","邀請碼","招待コード","코드를 초대","เชิญรหัส","निमंत्रण कोड"
"bnt_bet","","add fund","增加资金","增加資金","追加資金","추가 기금","กองทุนเพิ่ม","ऐड निधि"
"bnt_prin","","Principal","本金","本金","主要な","주요한","หลัก","प्रधान अध्यापक"
"Notification Pag","","","","","","","",""
"n_zero_a","","Zero amount available","零额可用","零額可用","可能なゼロ量","가능한 제로 금액","ศูนย์จำนวนเงินที่มีอยู่","शून्य राशि उपलब्ध"
"n_address_empty","","Address cannot be empty","地址不能为空","地址不能為空","アドレスは空にすることはできません","주소는 비워 둘 수 없습니다","ที่อยู่ต้องไม่ว่างเปล่า","पता खाली नहीं हो सकता"
"n_upline","","Your up line code is invalid","您的上线代码无效","您的上線代碼無效","あなたのアップラインコードは無効です。","귀하의 최대 라인 코드가 잘못되었습니다","รหัสเส้นขึ้นของคุณไม่ถูกต้อง","आपका अप लाइन कोड अमान्य है"
